Date,PPR,CHIRPS,PCDR
2-Jun,3.803318331,3.266642112,9.03174647
3-Jun,3.911803708,3.764874156,9.185816452
4-Jun,3.676837618,2.605352977,6.673410068
5-Jun,1.493755606,3.889180479,6.906295273
6-Jun,6.437768966,5.98669736,7.485880908
7-Jun,4.563984539,2.902900553,6.209389196
8-Jun,5.248829256,4.907200737,6.87704113
9-Jun,1.743008877,3.133947207,8.437219152
10-Jun,4.006847379,3.463990178,6.110220995
11-Jun,4.949600793,3.702173113,6.188143033
12-Jun,5.931380491,5.31262124,6.737556783
13-Jun,4.928379149,3.981875384,5.188170657
14-Jun,4.956235231,4.821718846,6.395359116
15-Jun,3.838772046,2.536114181,5.328953346
16-Jun,4.447475945,5.5668938,6.045061388
17-Jun,4.125696297,3.368799877,5.031249233
18-Jun,2.420622633,4.230957643,5.000466544
19-Jun,4.696254047,2.688296501,5.468557398
20-Jun,4.409087777,3.29257213,5.195751995
21-Jun,3.690995039,3.327688766,5.241421117
22-Jun,8.753478852,4.904257213,7.440755064
23-Jun,6.860757983,3.062004297,5.684146716
24-Jun,5.235710645,3.935294659,7.951967465
25-Jun,3.502632423,6.54786679,5.392955801
26-Jun,4.947184441,3.559650092,6.482596685
27-Jun,6.628424966,4.651982811,5.516952117
28-Jun,3.360364755,3.141933702,5.705647637
29-Jun,3.601254785,3.435751995,5.225125844
30-Jun,4.848996351,3.567326581,5.083413136
1-Jul,6.111865556,8.951605279,7.450297729
2-Jul,7.984459378,5.096135666,9.724002455
3-Jul,5.584868802,7.668428484,10.59601903
4-Jul,4.046076814,4.697323511,7.896028238
5-Jul,4.215898135,4.045945365,7.243235114
6-Jul,4.849620788,3.722504604,8.10582566
7-Jul,6.31262593,7.890159608,8.615604665
8-Jul,6.468547878,7.737289748,6.719723757
9-Jul,6.497964234,5.74733272,9.651003683
10-Jul,6.27497641,6.984524248,6.832127071
11-Jul,7.544032821,8.088956415,8.407173112
12-Jul,8.80193471,4.063462247,9.440159607
13-Jul,6.542963148,6.772166974,13.20305402
14-Jul,7.342745185,8.126645181,6.581092695
15-Jul,7.164996879,6.965948435,6.188133824
16-Jul,9.060943615,7.004137508,9.01771332
17-Jul,9.411752454,7.054088398,6.109294045
18-Jul,7.505871045,7.039849601,7.391037446
19-Jul,6.25804314,4.638354819,7.88281154
20-Jul,5.390240566,6.974929404,6.346961326
21-Jul,8.019327181,8.327446286,8.715233273
22-Jul,8.619454786,6.349963167,5.141860037
23-Jul,6.884654224,6.691669737,7.617133211
24-Jul,7.447767785,8.725270105,7.436801719
25-Jul,11.12405656,8.434054636,6.275684469
26-Jul,8.18301415,8.626863106,6.660988337
27-Jul,8.718947394,8.993701657,7.493146102
28-Jul,13.16650177,6.666896869,5.770432781
29-Jul,6.226847055,6.022203806,7.823259668
30-Jul,14.29261455,8.260534069,8.558615715
31-Jul,7.449314156,9.111903007,6.560607735
1-Aug,6.517220093,11.49709331,7.555905463
2-Aug,14.68062399,7.082968079,5.516746471
3-Aug,5.498171682,9.03495089,6.880352977
4-Aug,4.422452313,8.4284469,9.9389779
5-Aug,13.28547118,7.047074892,7.646715777
6-Aug,10.8417275,9.006319828,6.051151013
7-Aug,10.12263915,12.78263045,6.163517495
